SJ_number,Species,sub_species,race,Kris_clade,cluster,my_clades,sample_type,lat,long,location,Drainage,City/road,County,State,temp_number,sample_number,field_number,Date_collected,Date extracted,Cytb_amp,ddRAD,ddRAD plate,filtered_out_95,Collector,University,Qubit_con_1(ng/ml),Fancy_number,Loan_number,strange_topology
UC10,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.78637,-84.86606,Palmetto_Creek,Chattahoochee,Palmetto Creek,Harris,GA,21CVUC10,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1101,na,na
UC11,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.78637,-84.86606,Palmetto_Creek,Chattahoochee,Palmetto Creek,Harris,GA,21CVUC11,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1102,na,na
UC12,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.78637,-84.86606,Palmetto_Creek,Chattahoochee,Palmetto Creek,Harris,GA,21CVUC12,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1103,na,na
RR07,C_venusta,venusta,Red_Lower_Miss,unknown,na,na,tissue,34.50571,-97.0697,Dry_sandy_creek,Red_River,"Dry sandy creek at OK Hwy 7, 3mi W Sulphur",Murray,OK,21CVRR07,49528-2,na,2/21/2003,3/24/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1105,na,na
AK02,C_venusta,venusta,Red_Lower_Miss,Mississippi,na,na,tissue,34.72345,-96.64428,Clear_boggy_creek,Arkansas_River,Clear boggy creek at Hisle Rd. 1 mi S Ahloso,Pontotoc,OK,21CVAK02,49527-2,na,2/21/2003,3/24/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1108,na,na
CO01,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,33.81389,-86.38167,Big_Canoe_Creek,Coosa_River,"Big canoe Creek at US Hwy 11, ca 1 km S of Goodwins Mill",St._Clair,AL,21CVCO01,12510-1,na,6/10/2000,4/7/2021,na,not_sent,na,na,"R.L. Mayden, Gadsden 2000 class",UAIC,na,C_ven_1109,na,na
CO02,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,33.81389,-86.38167,Big_Canoe_Creek,Coosa_River,"Big canoe Creek at US Hwy 11, ca 1 km S of Goodwins Mill",St._Clair,AL,21CVCO02,12510-2,na,6/10/2000,4/7/2021,na,not_sent,na,na,"R.L. Mayden, Gadsden 2000 class",UAIC,na,C_ven_1110,na,na
CO03,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,33.81389,-86.38167,Big_Canoe_Creek,Coosa_River,"Big canoe Creek at US Hwy 11, ca 1 km S of Goodwins Mill",St._Clair,AL,21CVCO03,12510-3,na,6/10/2000,4/7/2021,na,not_sent,na,na,"R.L. Mayden, Gadsden 2000 class",UAIC,na,C_ven_1111,na,na
TL02,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.65797,-85.45903,Sougahatchee_creek,Tallapoosa,Sougahatchee Creek at Hwy 280 3mi N Auburn,Lee,AL,21CVTL02,49519-2,na,12/16/2003,3/31/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1116,na,na
TL04,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.65797,-85.45903,Sougahatchee_creek,Tallapoosa,Sougahatchee Creek at Hwy 280 3mi N Auburn,Lee,AL,21CVTL04,49519-4,na,12/16/2003,3/31/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1118,na,na
TL07,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.65797,-85.45903,Sougahatchee_creek,Tallapoosa,Sougahatchee Creek at Hwy 280 3mi N Auburn,Lee,AL,21CVTL07,49519-7,na,12/16/2003,3/31/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1121,na,na
HO03,C_venusta,venusta,Red_Lower_Miss,Mississippi,na,na,tissue,31.48239,-90.91488,Fork_Homochitto_River,Mississippi_MS,Middle Fork Homochitto River at McNair Road; N Hwy 84 1mi WSW Meadville,Franklin,MS,21CVHO03,49525-3,na,10/28/2004,3/24/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1124,na,na
BR02,C_venusta,venusta,Western_Gulf,East_tx-West_tx,na,na,tissue,32.79864,-98.18627,Brazos_River,Brazos,Brazos River at US Hwy 180; 7 mi W Mineral Wells,Palo_Pinto,TX,21CVBR02,49529-2,na,3/7/2003,4/7/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1126,na,na
GR02,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.72324,-99.06823,Medina_River,Guadalupe,Medina River at TX Hwy 173; Bandera,Bandera,TX,21CVGR02,49532-2,na,1/1/2003,4/6/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1137,na,na
SF02,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,36.6619,-90.1396,St_Francis_River,St_Francis_River,St. Francis River at MO Hwy U 2.5mi W Powe,Butler,MO,21CVSF02,49526-2,na,5/30/2003,4/6/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1143,na,na
SF03,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,36.6619,-90.1396,St_Francis_River,St_Francis_River,St. Francis River at MO Hwy U 2.5mi W Powe,Butler,MO,21CVSF03,49526-3,na,5/30/2003,4/6/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1144,na,na
TR02,C_venusta,venusta,Western_Gulf,East_tx,na,na,tissue,32.67643,-97.61039,Clear_fork_Trinity_river,Trinity,Clear fork Trinity river at FM Road 5; 2mi SSW Aledo,Parker,TX,21CVTR02,49530-1,na,3/6/2003,3/24/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1145,na,na
TR03,C_venusta,venusta,Western_Gulf,East_tx,na,na,tissue,32.67643,-97.61039,Clear_fork_Trinity_river,Trinity,Clear fork Trinity river at FM Road 5; 2mi SSW Aledo,Parker,TX,21CVTR03,49530-2,na,3/6/2003,3/24/2021,na,not_sent,na,na,"Lang, N",UAIC,na,C_ven_1146,na,na
OU03,C_venusta,venusta,Western_Gulf,Mississippi,na,na,tissue,33.2954,-92.0083,Saline_river,Ouachita,Saline River at Moores Mill,Bradley,AK,21CVOU03,49522-2,na,6/10/2005,4/6/2021,na,not_sent,na,na,"Neely, Dave; Unmack, P; AGFD",UAIC,na,C_ven_1149,na,na
SF05,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,35.74778,-90.6112,Little_Bay_Ditch,St_Francis_River,"Little Bay Ditch at AR Hwy 158, approx. 2.5 miles W of Bay",Craighead,AK,21CVSF05,ASUFT-2015-10,na,1/29/2015,3/13/2021,na,not_sent,na,na,"BL Fluker, T Klotz, A Worm, N Stephens",ASUMZ,na,C_ven_1156,na,na
